c1,c2,c3,c4,c5,c6
Classification of motor purposes of this Part.,122,,a,,"motor coaches,"
Classification of motor purposes of this Part.,122,,b,,"lorries, and, in addition, motor ambulances, and motor hearses,"
Classification of motor purposes of this Part.,122,,c,,"hiring cars,"
Classification of motor purposes of this Part.,122,,d,,"steam-driven motor vehicles,"
Classification of motor purposes of this Part.,122,,e,,"motor cycles,"
Classification of motor purposes of this Part.,122,,f,,"invalid carriages,"
Classification of motor purposes of this Part.,122,,g,,"private cars, and motor vehicles not hereinbefore specified."
Prohibition of driving without driving licence.,123,1,,,Subject to the provisions of subsection(2)-(a) no person shall drive a motor vehicle of any class on a highway unless he is the holder of an effective driving licence which is valid for motor vehicles of that class; and(b) no person shall employ any other person to drive a motor vehicle of any class on a highway unless the person so employed is the holder of an effective driving licence which is valid for motor vehicles of that class.
Prohibition of driving without driving licence.,123,1,a,,no person shall drive a motor vehicle of any class on a highway unless he is the holder of an effective driving licence which is valid for motor vehicles of that class; and
Prohibition of driving without driving licence.,123,1,b,,no person shall employ any other person to drive a motor vehicle of any class on a highway unless the person so employed is the holder of an effective driving licence which is valid for motor vehicles of that class.
Prohibition of driving without driving licence.,123,2,,,"For the purpose of learning to drive a motor vehicle, a person who has attained the age of eighteen years may, notwithstanding that he is not the holder of a driving licence, drive on a highway any motor vehicle, other than a motor coach, hiring car or lorry, carrying passengers or goods, as the case may be-(a) if the holder of an effective driving licence which is valid for motor vehicles of that class accompanies him for the purpose of instructing him and is seated at his side; and(b) if there is carried above each identification plate fixed on the vehicle, in such manner as not to obscure any such identification plate, a white board or plate bearing the letter "" L"" painted thereon in red, the dimensions of such letter being at least twice the corresponding dimensions of any letter forming part of the distinctive number on the identification plate."
Prohibition of driving without driving licence.,123,2,a,,if the holder of an effective driving licence which is valid for motor vehicles of that class accompanies him for the purpose of instructing him and is seated at his side; and
Prohibition of driving without driving licence.,123,2,b,,"if there is carried above each identification plate fixed on the vehicle, in such manner as not to obscure any such identification plate, a white board or plate bearing the letter "" L"" painted thereon in red, the dimensions of such letter being at least twice the corresponding dimensions of any letter forming part of the distinctive number on the identification plate."
Application for driving licences,124,1,,,"Every application for a driving licence shall be made to the Commissioner in the prescribed form, and shall be accompanied by-(a) the prescribed application fee; and(b) two copies of a photograph of the applicant of such size as may be prescribed and taken not earlier than six months before the date of the application."
Application for driving licences,124,1,a,,the prescribed application fee; and
