c1,c2,c3,c4,c5,c6
Users of motor vehicles to be insured or secured against or third-party risks-,99,1,,,"Save as is otherwise provided in subsection (2), no person shall use or drive, cause or permit any other person to use or drive, a motor vehicle on a highway unless there is in force in relation to the use of the vehicle by that person or that other person, as the case may be, a policy of insurance, or a security, in respect of third-party risks, in conformity with the requirements of this Part."
Users of motor vehicles to be insured or secured against or third-party risks-,99,2,,,"The provisions of subsection (1) shall not apply in the case of a motor vehicle belonging to the State or a local authority at any time when the motor vehicle is being used or driven for the purposes of the State service or, as the case may be, by a servant of the local authority in the course of his employment."
Requirements as to policies of insurance.,100,1,,,"In order to conform to the requirements of this Part a policy of insurance in relation to the use of a motor vehicle must be a policy which-(a) is issued by an insurer (hereinafter referred to as an "" authorized insurer "") who is authorized by the Minister in charge of the subject of Trade, subject to such conditions as may be prescribed, to issue policies of insurance for the purposes of this Part; and(b) insures, in accordance with the provisions of paragraph (c), such person, persons or classes of persons as may be specified in the policy in respect of any liability which may be incurred by him or them in respect of the death of or bodily injury to any person caused by or arising out of the use of the motor vehicle on a highway ; and(c)(i) in the case of a motor coach, or hiring car, covers any liability which is referred to in paragraph (b) and which may be incurred in respect of any one accident, up to an amount which shall not be less than twenty thousand rupees in respect of persons other than passengers, and up to an amount which shall not be less than two thousand rupees in respect of each passenger authorized to be carried therein;(ii) in the case of a lorry, covers any liability which is referred to in paragraph (b) and which may be incurred in respect of any one accident, up to an amount which shall not be less than twenty thousand rupees; or(iii) in the case of any other motor vehicle, covers any such liability which is referred to in paragraph (b) as may actually be incurred :"
Requirements as to policies of insurance.,100,1,a,,"is issued by an insurer (hereinafter referred to as an "" authorized insurer "") who is authorized by the Minister in charge of the subject of Trade, subject to such conditions as may be prescribed, to issue policies of insurance for the purposes of this Part; and"
Requirements as to policies of insurance.,100,1,b,,"insures, in accordance with the provisions of paragraph (c), such person, persons or classes of persons as may be specified in the policy in respect of any liability which may be incurred by him or them in respect of the death of or bodily injury to any person caused by or arising out of the use of the motor vehicle on a highway ; and"
Requirements as to policies of insurance.,100,1,c,,"(i) in the case of a motor coach, or hiring car, covers any liability which is referred to in paragraph (b) and which may be incurred in respect of any one accident, up to an amount which shall not be less than twenty thousand rupees in respect of persons other than passengers, and up to an amount which shall not be less than two thousand rupees in respect of each passenger authorized to be carried therein;(ii) in the case of a lorry, covers any liability which is referred to in paragraph (b) and which may be incurred in respect of any one accident, up to an amount which shall not be less than twenty thousand rupees; or(iii) in the case of any other motor vehicle, covers any such liability which is referred to in paragraph (b) as may actually be incurred :"
Requirements as to policies of insurance.,100,1,i,i,"in the case of a motor coach, or hiring car, covers any liability which is referred to in paragraph (b) and which may be incurred in respect of any one accident, up to an amount which shall not be less than twenty thousand rupees in respect of persons other than passengers, and up to an amount which shall not be less than two thousand rupees in respect of each passenger authorized to be carried therein;"
Requirements as to policies of insurance.,100,1,i,ii,"in the case of a lorry, covers any liability which is referred to in paragraph (b) and which may be incurred in respect of any one accident, up to an amount which shall not be less than twenty thousand rupees; or"
Requirements as to policies of insurance.,100,1,i,iii,"in the case of any other motor vehicle, covers any such liability which is referred to in paragraph (b) as may actually be incurred :"
Requirements as to policies of insurance.,100,1,i,,"Provided that nothing in this subsection shall be deemed to require any such policy to cover-(i) liability in respect of the death of any person in the employment of a person insured by the policy, or in respect of bodily injury sustained by any person so employed, where such death or injury arises out of and in the course of such employment;(ii) except in the case of a motor vehicle in which passengers are carried for fee or reward or by reason of or in pursuance of a contract of employment, liability in respect of the death of or bodily injury to persons being carried in or upon or entering or getting on to or alighting from the vehicle at the time of the occurrence of the event out of which the claims arise ; or(iii) any contractual liability."
Requirements as to policies of insurance.,100,1,i,i,"liability in respect of the death of any person in the employment of a person insured by the policy, or in respect of bodily injury sustained by any person so employed, where such death or injury arises out of and in the course of such employment;"
Requirements as to policies of insurance.,100,1,i,ii,"except in the case of a motor vehicle in which passengers are carried for fee or reward or by reason of or in pursuance of a contract of employment, liability in respect of the death of or bodily injury to persons being carried in or upon or entering or getting on to or alighting from the vehicle at the time of the occurrence of the event out of which the claims arise ; or"
Requirements as to policies of insurance.,100,1,i,iii,any contractual liability.
Requirements as to policies of insurance.,100,2,,,The conditions prescribed for the purposes of paragraph (a) of subsection (1) may include a condition requiring a deposit to be made by an insurer.
Requirements as to policies of insurance.,100,3,,,"Notwithstanding anything in any other law to the contrary, an insurer issuing a policy of insurance for the purposes of this Part shall be liable to indemnify the persons or classes of persons specified in the policy in respect of any liability which the policy purports to cover in the case of those persons or classes of persons."
Requirements as to policies of insurance.,100,4,,,A policy of insurance shall be of no effect for the purposes of this Part unless and until there is issued by the insurer to the person by whom the policy is effected a certificate in the prescribed form containing such particulars of any conditions subject to which the policy is issued and of such other matters as may be prescribed.
Requirements as to policies of insurance.,100,5,,,"In this Part the expression "" policy of insurance "" includes a covering note."
Requirements as to securities.,101,1,,,"In order to conform to the requirements of this Part a security in relation to the use of a motor vehicle must-(a) be given either by an authorized insurer or by some person or body of persons carrying on in Sri Lanka or in any other part of the Commonwealth countries the business of giving such undertakings as are referred to in paragraph (b), and authorized by the Minister, subject to such conditions as may be prescribed, to give such security for the purposes of this Part; and(b) consist of any undertaking by the giver of the security, subject to any conditions specified therein, to make good, up to an amount prescribed by section 100 (1) (c), in the case of a policy of insurance relating to a motor vehicle of that class, any failure on the part of the owner of the motor vehicle or such other persons or classes of persons as may be specified in the security, duly to discharge any such liability, required by section 100 (1) to be covered by a policy of insurance, as may be incurred by him or them."
Requirements as to securities.,101,1,a,,"be given either by an authorized insurer or by some person or body of persons carrying on in Sri Lanka or in any other part of the Commonwealth countries the business of giving such undertakings as are referred to in paragraph (b), and authorized by the Minister, subject to such conditions as may be prescribed, to give such security for the purposes of this Part; and"
Requirements as to securities.,101,1,b,,"consist of any undertaking by the giver of the security, subject to any conditions specified therein, to make good, up to an amount prescribed by section 100 (1) (c), in the case of a policy of insurance relating to a motor vehicle of that class, any failure on the part of the owner of the motor vehicle or such other persons or classes of persons as may be specified in the security, duly to discharge any such liability, required by section 100 (1) to be covered by a policy of insurance, as may be incurred by him or them."
Requirements as to securities.,101,2,,,The conditions prescribed for the purposes of paragraph (a) of subsection (1) may include a condition requiring a deposit to be made by any person or body of persons desiring to be authorized to give security for the purposes of this Part.
Requirements as to securities.,101,3,,,"A security shall be of no effect for the purposes of this Part unless and until there is issued, by the person or body of persons giving the security to the person to whom it is given, a certificate in the prescribed form and containing such particulars of any conditions subject to which the security is issued and of such other matters as may be prescribed."
Certain conditions in policies or securities to be of no effect.,102,1,,,"Where a certificate of insurance has been issued in connexion with a policy of insurance, so much of the policy as purports to restrict, or attach conditions, to the insurance of any person insured thereby shall, save as is otherwise provided in subsection (4), be of no effect as respects any such liability as is required to be covered by section 100 (1) (b)."
Certain conditions in policies or securities to be of no effect.,102,2,,,"Any condition in a policy of insurance effected for the purposes of this Part, providing that no liability shall arise under the policy, or that any liability so arising shall cease, in the event of some specified thing being done or omitted to be done after the happening of the event giving rise to a claim under the policy, shall be of no effect in connexion with any claims in respect of any liability mentioned in section 100 (l)(b)."
Certain conditions in policies or securities to be of no effect.,102,3,,,Nothing in subsection (1) or subsection (2) shall be deemed to render void any provision in a policy of insurance requiring the person insured to repay to the insurer any sums which the insurer may have become liable to pay under the policy and which have been applied to the satisfaction of the claims of third parties.
Certain conditions in policies or securities to be of no effect.,102,4,,,"Nothing in subsection (1) shall apply in the case of any condition in a policy of insurance, being a condition which-(a) excludes the use of the motor vehicle to which the policy relates-(i) for business purposes, except by the insured, or by some other named individual, in person;(ii) for business purposes, other than the business purposes of the insured ;(iii) for the carriage of goods or samples in connexion with any trade or business ;(iv) for the carriage of persons or goods for fee or reward ;(v) for organized racing or speed testing;(vi) on a contract of letting and hiring;(b) provides that the motor vehicle shall not be driven by a person other than-(i) the insured or any person driving with his express or implied permission;(ii) the insured or any person employed by him;(iii) any person or persons named in the policy;(c) provides that the motor vehicle shall not be driven by- (i) any person or persons named in the policy; (ii) any person who is not the holder of a driving licence; (iii) any person whose driving licence has been cancelled o suspended or who is for the time being disqualified for obtaining a driving licence ; or(d) in the case of a motor cycle which has no side car attached thereto, provides that no person other than the driver shall be carried thereon ;(e) excludes liability for injury caused or contributed to by conditions of war, riot or civil commotion."
Certain conditions in policies or securities to be of no effect.,102,4,a,,"excludes the use of the motor vehicle to which the policy relates-(i) for business purposes, except by the insured, or by some other named individual, in person;(ii) for business purposes, other than the business purposes of the insured ;(iii) for the carriage of goods or samples in connexion with any trade or business ;(iv) for the carriage of persons or goods for fee or reward ;(v) for organized racing or speed testing;(vi) on a contract of letting and hiring;"
Certain conditions in policies or securities to be of no effect.,102,4,i,i,"for business purposes, except by the insured, or by some other named individual, in person;"
Certain conditions in policies or securities to be of no effect.,102,4,i,ii,"for business purposes, other than the business purposes of the insured ;"
Certain conditions in policies or securities to be of no effect.,102,4,i,iii,for the carriage of goods or samples in connexion with any trade or business ;
Certain conditions in policies or securities to be of no effect.,102,4,i,iv,for the carriage of persons or goods for fee or reward ;
Certain conditions in policies or securities to be of no effect.,102,4,v,v,for organized racing or speed testing;
Certain conditions in policies or securities to be of no effect.,102,4,v,vi,on a contract of letting and hiring;
Certain conditions in policies or securities to be of no effect.,102,4,b,,provides that the motor vehicle shall not be driven by a person other than-(i) the insured or any person driving with his express or implied permission;(ii) the insured or any person employed by him;(iii) any person or persons named in the policy;
Certain conditions in policies or securities to be of no effect.,102,4,i,i,the insured or any person driving with his express or implied permission;
Certain conditions in policies or securities to be of no effect.,102,4,i,ii,the insured or any person employed by him;
Certain conditions in policies or securities to be of no effect.,102,4,i,iii,any person or persons named in the policy;
Certain conditions in policies or securities to be of no effect.,102,4,c,,provides that the motor vehicle shall not be driven by- (i) any person or persons named in the policy; (ii) any person who is not the holder of a driving licence; (iii) any person whose driving licence has been cancelled o suspended or who is for the time being disqualified for obtaining a driving licence ; or
Certain conditions in policies or securities to be of no effect.,102,4,d,,"in the case of a motor cycle which has no side car attached thereto, provides that no person other than the driver shall be carried thereon ;"
Certain conditions in policies or securities to be of no effect.,102,4,e,,"excludes liability for injury caused or contributed to by conditions of war, riot or civil commotion."
Certain conditions in policies or securities to be of no effect.,102,5,,,"Where a person, who has completed eighteen years of age, drives any motor vehicle in accordance with the conditions set out in section 123 (2) for the purpose of learning to drive a motor vehicle, no condition inserted under paragraph (c) (ii) of subsection (4) in the policy of insurance relating to that vehicle shall be of any effect as respects any such liability, as is required to be covered by section 100 (1) (b), and as may be incurred while the motor vehicle is driven by that person."
Requirements as to production of certificate of insurance or of security.,104,1,,,"The driver of any motor vehicle on a highway shall, on being required so to do by any police officer, give his name and address and the name and address of the owner of the vehicle, and produce for inspection the certificate of insurance or of security issued in respect of that vehicle :"
Requirements as to production of certificate of insurance or of security.,104,1,,,"Provided, however, that no person shall be deemed to have contravened the provisions of this subsection by reason only of the failure to produce such certificate, if before the expiry of a period of five days from the date on which the production of the certificate was so required, he delivers the certificate in person for inspection at such police station as may have been specified by him on that date."
Requirements as to production of certificate of insurance or of security.,104,2,,,The owner of a motor vehicle shall give such information as may be required by a police officer for the purpose of determining whether or not the vehicle was being driven in contravention of section 99 on any occasion when the driver was required under subsection (1) to produce the certificate.
Duty of insurers to satisfy decree against persons insured in respect of third-party risks.,105,1,,,"If after a certificate of insurance has been issued under section 100 (4) to the persons by whom a policy has been effected, a decree in respect of any such liability as is required by section 100 (1) (b) to be covered by a policy of insurance (being a liability covered by the terms of the policy) is obtained against any person insured by the policy, then notwithstanding that the insurer may be entitled to avoid or cancel, or may have avoided or cancelled, the policy, the insurer shall, subject to the provisions of sections 106 to 109, pay to the persons entitled to the benefit of the decree any sum payable thereunder in respect of that liability, including any amount payable in respect of costs and any sum payable in respect of interest on that sum under such decree."
Duty of insurers to satisfy decree against persons insured in respect of third-party risks.,105,2,,,"In this section, "" liability covered by the terms of the policy "" means a liability which is covered by the policy or which would be so covered but for the fact that the insurer is entitled to avoid or cancel, or has avoided or cancelled, the policy."
Insurers to have notice of actions.,106,2,a,,"in respect of any decree, unless before or within seven days after the commencement of the action in which the decree was entered, notice of the action had been given to the insurer by a party to the action; or"
