c1,c2,c3,c4,c5,c6
Speed limits.,140,1,,,"A motor coach, or a lorry having a tare exceeding one ton, shall not be driven-(a) on any highway within an urban area, at a greater speed than twenty miles per hour, or(b) on any highway outside an urban area, at a greater speed than twenty-five miles per hour."
Speed limits.,140,1,a,,"on any highway within an urban area, at a greater speed than twenty miles per hour, or"
Speed limits.,140,1,b,,"on any highway outside an urban area, at a greater speed than twenty-five miles per hour."
Speed limits.,140,2,,,"A motor vehicle of any class or description, to which subsection (1) does not apply, shall not be driven- (a) on any highway within an urban area, at a greater speed than thirty miles per hour; or (b) on any highway outside an urban area, at a greater speed than forty miles per hour."
Regulations as to more stringent speed limits,141,1,,,"Regulations may be made, as respects all highways or the highways in any specified area or any specified highway or part of a highway, prescribing for all motor vehicles or any specified class or description of motor vehicles or any specified motor vehicles, speed limits more stringent than the limits set out in section 140."
Regulations as to more stringent speed limits,141,2,,,"No motor vehicle, to which any regulation made under subsection (1) applies, shall be driven at a speed exceeding the limit prescribed by the regulation on any highway or part of a highway in respect of which the regulation is made."
"Exemption from, and relaxation of speed limits",142,,,,Regulations may be made in respect of all highways or the highways in any specified area or any specified highway-
"Exemption from, and relaxation of speed limits",142,a,,,"prescribing for all motor vehicles or any specified class or description of motor vehicles, or any specified motor vehicle, speed limits less stringent than those set out in section 140; or"
"Exemption from, and relaxation of speed limits",142,b,,,"exempting, subject to such conditions as may be prescribed, all motor vehicles or any specified class or description of motor vehicles or any specified motor vehicle, belonging to or exclusively employed in the service of the State or of any local authority, from the provisions of section 140."
Regulations for restriction of motor traffic,143,1,,,"Regulations may be made prohibiting, restricting or controlling the use of all motor vehicles or any specified class or description of motor vehicles on all highways or on the highways in any specified area or on any specified highway or part thereof, so far as such prohibition, restriction or control is necessary for the safety or convenience of the public or the prevention of injury to or excessive wear of any highway or any bridge on any highway."
Regulations for restriction of motor traffic,143,2,,,"No motor vehicle of any class or description, to which any regulation made under subsection (1) applies, shall be used in contravention of that regulation on any highway in respect of which that regulation is made."
Restriction of motor traffic on highways outside Colombo,144,1,,,"Regulations may be made-(a) declaring any specified highway outside Colombo to be suitable for use by-(i) motor coaches; or(ii) lorries having a tare exceeding one and one-half tons ; or(iii) articulated vehicles, trailers or six-wheeled motor vehicles; or(iv) any other class or description of motor vehicles having a tare exceeding two and one-quarter tons ; and(b) prescribing the conditions or restrictions subject to which such motor vehicles may be used on such highway."
Restriction of motor traffic on highways outside Colombo,144,1,a,,"declaring any specified highway outside Colombo to be suitable for use by-(i) motor coaches; or(ii) lorries having a tare exceeding one and one-half tons ; or(iii) articulated vehicles, trailers or six-wheeled motor vehicles; or(iv) any other class or description of motor vehicles having a tare exceeding two and one-quarter tons ; and"
Restriction of motor traffic on highways outside Colombo,144,1,a,i,motor coaches; or
Restriction of motor traffic on highways outside Colombo,144,1,a,ii,lorries having a tare exceeding one and one-half tons ; or
Restriction of motor traffic on highways outside Colombo,144,1,a,iii,"articulated vehicles, trailers or six-wheeled motor vehicles; or"
Restriction of motor traffic on highways outside Colombo,144,1,a,iv,any other class or description of motor vehicles having a tare exceeding two and one-quarter tons ; and
Restriction of motor traffic on highways outside Colombo,144,1,b,,prescribing the conditions or restrictions subject to which such motor vehicles may be used on such highway.
Restriction of motor traffic on highways outside Colombo,144,2,,,"No motor vehicle of any class or description specified in subsection (1) shall be used on any highway outside Colombo, unless such highway has been declared by regulation under that subsection to be suitable for use by that class or description of motor vehicles, or otherwise than in accordance with such conditions or restrictions as may be prescribed by that regulation:"
Restriction of motor traffic on highways outside Colombo,144,2,,,"Provided, however, that any motor vehicle of any class or description specified in subsection (1) may be used on any highway outside Colombo, which is in charge of the Department of Highways or a Department of a Director of Works or the Irrigation Department or any local authority, and which has not been declared by regulation under that subsection to be suitable for such traffic, if the use of such vehicle on such highway has been authorized by a permit issued by the Director of Highways or a Director of Works or the Director of Irrigation or the Chairman or Mayor of the local authority or any officer authorized in that behalf by that Director, Chairman or Mayor, as the case may be, on the ground that such use is necessary-(a) for the purpose of carrying goods belonging to or intended for the exclusive use of the State service;(b) for the purpose of carrying furniture or household goods to or from any premises to which such highway is the only means of access ;(c) for the purpose of proceeding to any other highway which has been declared by regulation to be suitable for such traffic;(d) for the purpose of proceeding to or returning from places of pilgrimage; or(e) for such other purpose as may be prescribed."
Restriction of motor traffic on highways outside Colombo,144,2,a,,for the purpose of carrying goods belonging to or intended for the exclusive use of the State service;
Restriction of motor traffic on highways outside Colombo,144,2,b,,for the purpose of carrying furniture or household goods to or from any premises to which such highway is the only means of access ;
Restriction of motor traffic on highways outside Colombo,144,2,c,,for the purpose of proceeding to any other highway which has been declared by regulation to be suitable for such traffic;
Restriction of motor traffic on highways outside Colombo,144,2,d,,for the purpose of proceeding to or returning from places of pilgrimage; or
Restriction of motor traffic on highways outside Colombo,144,2,e,,for such other purpose as may be prescribed.
Condition of motor vehicles.,145,,,,"No motor vehicle shall be used on any highway unless it is in all respects in such a condition that it will not cause or be likely to cause, danger to any person in the vehicle or on the highway or using the highway, or to any property on or adjoining the highway"
Regulations as to lights on motor vehicle,146,1,,,"Where the Minister is satisfied that any highway or part of a highway is adequately lighted for motor traffic by street lamps, regulations may be made prohibiting the use, on that highway, or part of a highway, of undimmed headlights; and on any highway or part of a highway in respect of which such regulations have been made, no headlight throwing its rays forward shall, so long as the street lamps are alight, be used on a motor vehicle unless the glare of such headlight is effectively dimmed or prevented in such manner or by such device as may be prescribed."
Regulations as to lights on motor vehicle,146,2,,,"Where the Minister is satisfied that a device which effectively prevents glare but provides sufficient light for safe driving can be procured in Sri Lanka at a reasonable price, regulations may be made requiring all motor vehicles to be fitted with such device ; and where such regulations have been made, no lamp throwing its rays forward shall be used on a motor vehicle on any highway at night unless it is fitted with such device."
Motor vehicles to be driven in accordance with section 148.,147,1,,,No person shall drive a motor vehicle on a highway in contravention of any of the provisions of section 148.
Motor vehicles to be driven in accordance with section 148.,147,2,,,It shall not be a sufficient defence for the driver of a motor vehicle in any prosecution entered against him for a contravention of any of the provisions of section 148 to prove that he has complied with the provisions of section 153.
"Rules of the road,",148,1,,,A motor vehicle meeting or being overtaken by other traffic shall be kept to the left or near side of the road.
"Rules of the road,",148,2,,,A motor vehicle being overtaken by other traffic shall be driven so as to allow such other traffic to pass it.
